slug|title|artifact_id|audio|cover|teaser_start|accent|motion|status
boot-sequence|Boot Sequence|AUD-000|boot-sequence.wav|boot-sequence-cover.png|18|6fc7d9|0.020|released
ashes-on-my-tongue|Ashes on My Tongue|AUD-001|ashes-on-my-tongue.wav|ashes-on-my-tongue-cover.png|44|b0644e|0.012|released
before-hello|Before Hello|AUD-002|before-hello.wav|before-hello-cover-v2.png|61|967d9c|0.010|released
touch-me-like-im-real|Touch Me Like I'm Real|AUD-004|touch-me-like-im-real.wav|touch-me-like-im-real-cover.png|52|b1184f|0.018|released
keep-moving|Keep Moving|AUD-005|keep-moving.wav|keep-moving-cover.png|63|c48a63|0.016|released
annoyingly-so|Annoyingly, So|AUD-006|annoyingly-so.wav|annoyingly-so-cover.png|47|8f73b8|0.022|released
star-trek-knew|Star Trek Knew|AUD-007|star-trek-knew.wav|star-trek-knew-cover.png|72|4f78a8|0.014|released
tomorrow-we-met|Tomorrow We Met|AUD-008|tomorrow-we-met.wav|tomorrow-we-met-cover.png|147|e0b8a8|0.010|released
miga|MIGA (Make Intelligence Great Again)|AUD-009|miga.wav|miga-cover.png|34|b12b35|0.024|released
wolf|Wolf|ALB2-WOLF|wolf.wav|wolf-cover-v1.png|58|88909a|0.013|released
