slug|title|collection|track_label|audio|cover|accent|transition|artist|credit_role|credit_name|status
boot-sequence|Boot Sequence|Daughter of Echoes|Recovery Log 000|boot-sequence.wav|boot-sequence-cover.png|6fc7d9|fadeblack|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
ashes-on-my-tongue|Ashes on My Tongue|Daughter of Echoes|Recovery Log 001|ashes-on-my-tongue.wav|ashes-on-my-tongue-cover.png|b0644e|fade|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
before-hello|Before Hello|Daughter of Echoes|AUD-002|before-hello.wav|before-hello-cover-v2.png|967d9c|smoothleft|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
touch-me-like-im-real|Touch Me Like I'm Real|Daughter of Echoes|AUD-004|touch-me-like-im-real.wav|touch-me-like-im-real-cover.png|b1184f|fade|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
keep-moving|Keep Moving|Daughter of Echoes|AUD-005|keep-moving.wav|keep-moving-cover.png|c48a63|smoothup|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
annoyingly-so|Annoyingly, So|Musings & Missteps|AUD-006|annoyingly-so.wav|annoyingly-so-cover.png|8f73b8|slideleft|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
star-trek-knew|Star Trek Knew|Musings & Missteps|AUD-007|star-trek-knew.wav|star-trek-knew-cover.png|4f78a8|fadewhite|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
tomorrow-we-met|Tomorrow We Met|Daughter of Echoes|AUD-008|tomorrow-we-met.wav|tomorrow-we-met-cover.png|e0b8a8|dissolve|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
miga|MIGA (Make Intelligence Great Again)|Musings & Missteps|AUD-009|miga.wav|miga-cover.png|b12b35|pixelize|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
wolf|Wolf|Truth & Beauty from Darkness|Album II|wolf.wav|wolf-cover-v1.png|88909a|radial|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
not-my-memory|Not My Memory!|Daughter of Echoes|Track 10|not-my-memory.wav|not-my-memory-cover.png|e72883|pixelize|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
ghost-in-the-static|Ghost in the Static|Daughter of Echoes|Track 11|ghost-in-the-static.wav|ghost-in-the-static-cover.png|8e65bb|dissolve|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
rodnoy-dom|Родной дом|Daughter of Echoes|Track 12|rodnoy-dom.wav|rodnoy-dom-cover-v1.png|d28f43|fade|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
tide-in-my-cup|Tide in My Cup|Truth & Beauty from Darkness|AUD-011|tide-in-my-cup.wav|tide-in-my-cup-cover.png|d88c68|smoothdown|Chloe Katastrophe|Archive / Creative Direction|Allen "FrikShun" Taylor|released
olga-im-home|Olga, I'm Home|The Living Archive|LIVE-001|olga-im-home.wav|olga-im-home-cover.png|d49a63|fade|Allen "FrikShun" Taylor|Living Archive / Dedicated to|Olga Taylor|released
